"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"AL158152.2",-0.15922111746313,4.96290847014888,-0.404937913958176,0.687186464021528,0.999012655624892,-4.95362046993009,"AL158152.2"
"C19orf24",-0.162196529883488,5.1614509591036,-0.404299322050367,0.687209164938673,0.999012655624892,-4.96447233896278,"C19orf24"
"AC140912.1",-0.176901093483812,4.21418435802316,-0.404950214602446,0.687279154975399,0.999012655624892,-4.90161469484891,"AC140912.1"
"NDST4",-0.187712828479994,3.96653396728548,-0.404498403116084,0.687362022155724,0.999012655624892,-4.89381805843993,"NDST4"
"ARL5A",-0.150409906562269,5.75490714489746,-0.404046940337788,0.687393894425986,0.999012655624892,-5.00410959653675,"ARL5A"
"CLEC4A",0.208826887424528,4.17029716255193,0.404523779212404,0.687489011048203,0.999012655624892,-4.90053543897331,"CLEC4A"
"SSSCA1",-0.191538948127038,4.61761265837365,-0.403877322317444,0.687518056167531,0.999012655624892,-4.93261091973165,"SSSCA1"
"UBE2V2",0.15111030935682,6.19336116632707,0.403824769375895,0.687556527085653,0.999012655624892,-5.0235455956349,"UBE2V2"
"ZRANB2-AS1",0.199332088038887,4.08862429839825,0.404324378839397,0.687634701790002,0.999012655624892,-4.89042294343685,"ZRANB2-AS1"
"ZNF236-DT",0.185050352942358,4.10379388674732,0.404284374940356,0.687663931847532,0.999012655624892,-4.89115800585216,"ZNF236-DT"
"TMEM25",-0.169512944450155,4.56314656898311,-0.403657607917292,0.687678901651735,0.999012655624892,-4.92992270609546,"TMEM25"
"ZBBX",0.18797083515474,3.86747381099041,0.404548701898765,0.687687154067001,0.999012655624892,-4.88222724203057,"ZBBX"
"TENT5D",0.18797083515474,3.86747381099041,0.404548701898765,0.687687154067001,0.999012655624892,-4.88222724203057,"TENT5D"
"AL359076.1",0.18797083515474,3.86747381099041,0.404548701898765,0.687687154067001,0.999012655624892,-4.88222724203057,"AL359076.1"
"AP002989.1",0.18797083515474,3.86747381099041,0.404548701898765,0.687687154067001,0.999012655624892,-4.88222724203057,"AP002989.1"
"AC069029.1",0.18797083515474,3.86747381099041,0.404548701898765,0.687687154067001,0.999012655624892,-4.88222724203057,"AC069029.1"
"AC091153.2",0.18797083515474,3.86747381099041,0.404548701898765,0.687687154067001,0.999012655624892,-4.88222724203057,"AC091153.2"
"WDR6",0.14461728451307,6.04908033937569,0.403617623554449,0.68770817440454,0.999012655624892,-5.0216025388101,"WDR6"
"POP7",-0.169042645351063,4.66322267786729,-0.403512179201353,0.687785373037106,0.999012655624892,-4.93400447108956,"POP7"
"TLNRD1",-0.16090762296964,5.3709783637566,-0.403494938222046,0.687797995935566,0.999012655624892,-4.98237094464773,"TLNRD1"
"NME9",0.180747231926569,4.02511112722036,0.403488124689061,0.687802984454826,0.999012655624892,-4.88936607554002,"NME9"
"TMSB4X",-0.115870801951597,8.90452180999831,-0.40343501793483,0.687841866970999,0.999012655624892,-5.17793826736055,"TMSB4X"
"AL031777.3",-0.196979038969998,3.89397371432025,-0.404127237332991,0.687880199691555,0.999012655624892,-4.88408165809416,"AL031777.3"
"AC112503.1",-0.188551884634811,3.89397371432025,-0.404258021493765,0.687899366389364,0.999012655624892,-4.88053563687782,"AC112503.1"
"DONSON",-0.167926269882564,4.18019341308085,-0.403326272549256,0.687921488366498,0.999012655624892,-4.90144577225138,"DONSON"
"AP001021.2",-0.190231743520236,4.13815437654578,-0.403912743139434,0.687935498804266,0.999012655624892,-4.8925738356537,"AP001021.2"
"AL606491.1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AL606491.1"
"TSSK3",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"TSSK3"
"LPAR3",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"LPAR3"
