Genes,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
STK19,0,0,0,0,0,0
STK24,20.1976,19.9521,19.5426,19.9411,20.3501,20.5756
STK25,49.4633,50.0466,50.1018,44.013,42.5513,47.9702
STK3,7.9553,7.68797,7.66931,7.24153,7.88401,6.78013
STK31,0.0594815,0.0327183,0.117612,0.0650245,0.0301292,0
STK32A,0.132703,0,0.13118,0,0.134468,0.0604045
STK32B,0.210372,0.231489,0.267374,0.558514,0.152265,0.595889
STK32C,2.08488,2.55486,1.77991,1.45038,1.58446,2.72459
STK33,3.29945,3.43116,4.12178,2.18001,2.27788,1.68944
STK35,6.81537,7.24202,8.37086,7.37055,7.29136,6.81472
STK36,8.75582,9.93041,8.22035,8.69747,7.3492,7.15366
STK38,18.1959,18.0083,17.9871,19.5973,19.1471,19.9607
STK38L,8.83249,8.71862,7.72229,7.58653,7.16376,6.42019
STK39,11.8847,12.1993,12.1574,8.5645,9.58629,8.67558
STK4,6.53501,6.71812,6.72369,6.35022,6.3817,6.11149
STK4-AS1,0.189831,0.156665,0.234566,0.155641,0.144268,0.141148
STK40,23.9004,24.5444,28.0606,25.7735,25.077,26.4867
STL,0.194342,0.21385,0.384224,0.289708,0.465465,0.4554
STMN1,169.042,150.524,167.309,111.32,106.587,104.057
STMN2,77.1243,63.8969,77.972,51.1961,55.6981,54.2264
STMN3,18.9766,19.2708,19.5106,13.9539,13.0617,15.335
STMN4,0.16342,0,0,0,0,0
STMND1,0,0,0,0,0,0
STOM,11.1623,11.4449,13.6753,23.7803,21.6333,21.0081
STOML1,5.95759,6.01764,6.06698,6.75544,6.15255,8.31254
STOML2,65.6754,63.3392,65.5067,63.6644,55.5861,62.3449
STOML3,0,0,0,0,0,0
STON1,13.2515,13.3608,12.7353,22.4932,22.2967,20.0654
STON1-GTF2A1L,3.19261,3.55159,2.82852,4.27349,4.93482,3.87214
STON2,0.156802,0.172685,0.197276,0.179205,0.202221,0.148386
STOX1,1.31082,1.03029,1.38834,0.990129,1.33503,0.665644
STOX2,1.83584,1.88545,1.75428,2.18531,2.12897,1.77959
STPG1,3.3599,3.04471,3.64539,2.44872,2.52597,2.75159
STPG2,0,0,0.0618483,0.0683968,0,0
STRA13,21.7928,20.3386,17.3566,21.5316,16.8101,19.7827
STRA6,58.8338,62.4841,61.2447,54.1014,52.951,56.5765
STRA8,0,0,0,0,0,0
STRADA,11.3805,9.8235,12.2191,9.79627,7.88907,8.95907
STRADB,21.4944,19.3603,19.0629,15.8228,17.548,15.9391
STRAP,83.6913,76.5382,80.0945,92.1319,87.8316,82.4423
STRBP,3.95583,3.94746,4.64906,2.9596,2.48733,2.63794
STRC,0.205105,0.0752313,0.0675838,0.0373698,0.034639,0.13556
STRIP1,16.2256,15.6437,17.3547,18.99,18.0996,17.9258
STRIP2,1.36863,1.16401,1.12733,1.58289,1.30842,1.13111
STRN,2.96405,3.08199,2.83969,3.26168,3.32765,2.89971
STRN3,10.9238,10.8728,9.99804,11.2362,10.9632,9.44904
STRN4,39.0579,40.7828,43.0223,36.4494,34.3696,38.7831
STS,3.44116,3.54386,3.16908,4.88717,5.18571,4.34461
STT3A,97.459,92.4487,92.7162,109.939,109.3,110.087
STT3B,60.2599,61.748,54.9196,58.0767,65.7866,53.6565
STUB1,19.5972,19.3509,17.9611,18.7988,17.9511,20.9082
STX10,28.0901,23.1648,25.5029,24.6294,23.3206,25.9205
STX11,0.256913,0.546558,0.372482,0.599157,0.399175,0.526384
STX12,12.8798,13.5127,14.1363,13.666,14.1708,13.3636
STX16,27.2545,28.5992,26.1752,26.9462,25.1177,25.087
STX16-NPEPL1,1.52329,2.16631,0.540545,0.328985,2.87E-47,0.859883
STX17,6.45916,6.51152,5.55512,7.25353,6.49021,5.41015
STX18,11.4762,13.9063,12.6305,11.9361,13.3708,12.3908
STX19,0,0,0.0941608,0,0.0965212,0.0944341
STX1A,3.48564,3.63892,4.20245,3.40835,3.01561,4.89388
STX1B,1.17124,1.38087,0.951053,0.731652,0.614607,0.850138
STX2,11.0873,11.6955,13.1786,12.3865,12.7308,12.5988
STX3,3.99539,3.8796,4.30389,4.11452,4.25124,3.78608
STX4,14.7268,14.2279,13.5453,13.4481,13.7835,13.7086
STX5,35.6238,33.3811,35.9304,35.4143,36.3798,39.7812
STX6,7.9852,8.74064,8.10075,8.24819,7.62421,8.66449
STX7,9.57703,9.43297,8.71682,10.2255,11.763,9.78233
STX8,27.1919,26.9525,26.6045,24.3863,19.8389,18.3516
STXBP1,11.8793,11.0945,11.8003,10.449,9.58432,9.87191
STXBP2,6.38532,7.277,7.65561,5.20767,6.14399,5.31941
STXBP3,8.88148,9.07805,8.58447,11.0037,10.1996,8.57025
STXBP4,1.83358,1.74406,1.6743,2.0724,1.68478,1.24781
STXBP5,3.52323,3.95803,3.77697,4.0231,5.13273,4.01129
STXBP5-AS1,0.537969,0.731258,0.437949,0.0691884,0.0961987,0.125491
STXBP5L,0.0297297,0.0436188,0.00979619,0.173335,0.180752,0.137545
STXBP6,1.55278,1.6517,2.14895,2.71597,2.46506,3.07884
STYK1,0,0.0357821,0.0964342,0,0.0329505,0.0967141
STYX,3.87724,3.88049,3.54382,3.25876,3.73139,3.66999
STYXL1,19.3088,18.1176,16.8678,18.8173,17.7456,20.2555
SUB1,35.7778,35.9222,30.3691,34.3656,34.2768,29.4765
SUCLA2,17.0833,16.6586,15.0567,18.3717,17.7797,18.1297
SUCLG1,32.1428,29.8728,27.5517,37.7498,33.304,35.5265
SUCLG2,21.3921,21.9962,17.6489,25.52,22.1638,22.2964
SUCNR1,0.941089,0.759408,1.6125,4.59525,5.40378,4.16735
SUCO,15.0317,15.2531,13.4802,15.6254,16.2212,13.1988
SUDS3,13.664,13.5564,12.6543,13.0949,12.0973,12.333
SUFU,19.1311,18.2856,19.3882,20.8706,21.3136,21.2947
SUGP1,14.3449,14.8844,14.4182,13.682,13.609,15.7486
SUGP2,38.4005,38.006,41.0768,30.0799,27.997,30.5386
SUGT1,13.2895,13.7145,11.2845,14.3104,14.7507,11.7902
SUGT1P1,1.60359,1.41165,1.26815,1.57773,1.62493,1.27183
SUGT1P3,0.214597,0.236138,0.106067,0.351892,0.217452,0.4255
SULF1,68.6884,65.9112,65.8468,27.5143,29.9306,26.9542
SULF2,126.038,122.757,126.165,147.657,152.916,158.239
SULT1A1,5.4302,4.99796,6.58284,8.7385,7.30291,7.72363
SULT1A2,0.64269,0.47116,0.105814,0.468081,0.108467,0.636742
SULT1A4,0,0,0,0,0,0
SULT1B1,0.328317,0.270956,0.162275,0.538369,0.499028,0.162746
SULT1C2,0.242105,0.0380583,0.239327,0.113429,0.245326,0.205733
SULT1C2P1,0.21732,0.179351,0.0537065,0.118786,0.0550528,0
SULT1C3,0,0,0,0,0,0
SULT1C4,3.72829,3.82904,2.14988,9.9176,9.38176,6.71477
SULT1E1,27.9205,27.6825,28.8521,61.4223,70.0007,55.7599
SULT2A1,0.712447,0.503977,0.603662,0.166894,0.206265,0.353158
SULT2B1,0.455238,0.300554,0,0.0995179,0,0.361053
SULT4A1,3.73268,4.68152,3.96758,3.81726,3.701,3.46181
SULT6B1,0.248347,0,0.122749,0,0,0
SUMF1,11.0424,14.6596,11.5089,15.9668,16.7924,15.2228
SUMF2,50.7762,53.2551,53.0279,61.6594,63.9797,68.7002
SUMO1,49.0253,45.1207,41.923,48.1287,44.5802,39.4979
SUMO1P1,0,0,0,0.0986456,0,0
SUMO1P3,0.271519,0.0995916,0.0894678,0.296822,0.366842,0.179455
SUMO2,249.499,230.33,244.633,224.685,221.27,222.638
SUMO3,52.524,48.392,51.3617,48.7563,48.4052,49.8836
SUMO4,0.18713,0,0.184982,0,0.189619,0.371038
SUN1,34.5583,34.166,33.7848,31.322,32.8632,29.185
SUN2,22.1846,22.0298,22.8066,15.8122,15.5041,17.1587
SUN3,0,0,0.0780901,0,0,0.078318
SUN5,0,0,0,0,0,0
SUOX,15.1533,13.8591,13.8671,12.7719,12.2485,11.692
SUPT16H,42.4482,41.0461,37.8751,41.5531,40.6313,38.0654
SUPT20H,25.1745,26.1683,26.0675,24.1491,22.2495,20.2789
SUPT20HL1,0,0,0,0,0,0
SUPT20HL2,0,0,0.0398696,0.044091,0,0
SUPT3H,3.5691,3.00615,3.33215,3.1618,2.56734,2.94867
SUPT4H1,38.9851,37.7718,35.4899,34.3791,34.9122,39.1111
SUPT5H,42.9635,40.4836,46.448,42.8553,40.9751,43.2254
SUPT6H,33.9395,33.1909,34.6257,33.5687,30.305,33.2032
SUPT7L,14.0059,12.9252,12.2306,13.5011,13.5574,13.353
SUPV3L1,10.3941,9.36993,8.14082,11.2753,9.7627,9.35344
SURF1,20.7888,18.3244,22.8097,20.8223,18.9699,22.0127
SURF2,7.08014,7.94667,7.69878,9.90711,7.60479,9.12496
SURF4,155.288,154.406,158.471,155.37,158.252,168.758
SURF6,16.3624,17.1543,17.3633,15.6807,15.2746,17.4989
SUSD1,9.42681,8.51309,8.29037,9.87886,9.3546,9.1201
SUSD2,0.456999,0.335249,0.331287,0.532892,0.740926,0.6947
SUSD3,2.20736,1.21447,1.18193,0.603265,0.745575,0.729454
SUSD4,0.102372,0,0.200709,0.111177,0.103005,0
SUSD5,1.5504,1.53959,1.51392,2.29429,2.79719,2.19311
SUV39H1,3.84578,5.14148,4.83201,3.53622,3.75127,2.9575
SUV39H2,5.87208,4.88133,4.51478,4.38648,5.15606,3.79994
SUV420H1,15.7584,13.5921,13.0841,13.3523,13.5142,11.1688
SUV420H2,9.52711,9.06036,9.41778,6.17356,5.80979,6.70988
SUZ12,9.007,8.46187,8.04268,8.68523,9.25599,7.68694
SUZ12P1,7.7795,7.98973,6.83576,8.12649,6.83194,5.1417
SV2A,8.36556,8.87316,9.42048,7.1417,7.42818,8.42182
SV2B,0.128883,0.122911,0.0254796,0.0845355,0.121891,0.102219
SV2C,0.0420509,0,0,0,0,0
SVEP1,9.10943,10.2954,10.5575,34.2491,33.0575,32.7727
SVIL,40.8026,40.1897,40.397,38.0186,35.7038,35.5719
SVIP,3.29138,2.69527,2.87528,3.43075,2.40442,2.5042
SVOP,0.204352,0.321236,0.115433,0.255309,0.266234,0.173651
SVOPL,0.29813,0.656117,0.0736756,0.185978,0.0755224,0.0738894
SWAP70,7.05774,7.57259,7.32462,7.95054,8.28084,7.55908
SWI5,20.1846,16.947,18.6843,17.0913,17.1428,17.0035
